Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity
919.3,925.1,927.7,888.55,894.6,895.5,903.1,8663045
895.5,910,927.9,907.3,923,921.3,919.5,6506784
921.3,928,947.5,915,947,943.9,934.37,3896824
943.9,947.4,947.4,913.15,917,920,927.16,4735179
920,925.7,938.8,914.4,928.9,929.05,926.96,3334195
929.05,935.7,935.7,911.25,917,915.25,918.84,4499736
915.25,908.4,937.2,903.65,919.75,914.3,923.19,8738283
914.3,912.5,920.8,885.1,899,899.65,900.33,6479831
899.65,899.95,915,888.05,910.75,909.95,899.83,4574486
909.95,906.1,918.25,894.1,915.1,914.8,907.41,6890857
914.8,914.4,944.8,911.3,942,941.7,930.5,6232645
941.7,938.3,950.8,938.1,943.7,944.15,946.12,2523913
944.15,947.85,955.45,936.25,953.95,953.95,947.93,3221065
953.95,956.05,963,932,938,935.55,948.71,3599714
935.55,936.1,960.9,934.2,954.65,956.35,949.02,5858555
956.35,992,1009.4,979.25,986.3,984.85,995.6,20326289
984.85,986.4,1002.3,985,998.5,995.65,995.3,7128252
995.65,996,998.6,958.35,971,964.2,971.46,7521221
964.2,980.7,982.25,954.55,969.95,966.25,969.01,3451930
966.25,970.2,994.3,960,961.7,964.25,979.06,5140248
964.25,973.7,992.7,967.2,991.3,988.85,982.71,2885282
988.85,975.2,985,968.1,980,977.4,977.06,4461643
977.4,984.65,994.8,978.1,983,982.2,985.27,3524743
982.2,974.1,983.3,964,977,977.05,973.12,2702156
977.05,978,992.4,978,985.1,984.95,985.54,2756185
984.95,988.7,1004.4,968.1,993,993.85,991.87,7422840
993.85,992.7,993,982,984.8,984.75,986.71,2252418
984.75,978.8,994.9,972.15,993.1,992.05,984.93,3428848
992.05,992.95,1020.75,992.25,1020,1018.35,1010.45,6585771
1018.35,997.95,1049.6,988.9,1036,1037.25,1026.06,12902924
1037.25,1045,1055,1038.1,1046.5,1047.1,1045.04,4709984
1047.1,1039.3,1048.8,1028,1032.05,1030.85,1037.51,2830269
1030.85,1035,1035,986.6,990.45,993,999.11,9258050
993,999.05,1000,981.1,993,990.3,991.16,3553732
990.3,993.05,1004.9,992.15,1000,999.65,1000.12,2238646
999.65,999.85,1016.65,995.8,1015.1,1013.25,1008.42,2610417
1013.25,1015.9,1021.95,1003.85,1012.4,1010.3,1011.91,2567887
1010.3,1023.9,1029.95,1010,1026.35,1026.6,1019.91,3518453
1026.6,1026.25,1036.35,1014.3,1025.4,1025.7,1023.95,4361259
1025.7,1020,1032,1019.6,1025.2,1022.75,1026.91,4137811
1022.75,1027.5,1037.5,1024.1,1032.15,1032.5,1031.87,2801842
1032.5,1034.5,1054.9,1034.5,1051.55,1049.1,1045.53,7201048
1049.1,1049.05,1065.9,1031,1036,1036.4,1044.03,4291094
1036.4,1040,1054.8,1029,1050.8,1050.65,1042.46,2997121
1050.65,1052.5,1059,1040,1048,1047.65,1048.1,2458823
1047.65,1045,1054.25,1040,1047.25,1044.85,1044.8,2076283
1044.85,1045.05,1047.55,1035.1,1041.75,1041.9,1040.03,2323242
1041.9,1042,1050.9,1020.65,1024,1023.9,1030.8,2742024
1023.9,1013,1019.45,1003.65,1005.8,1005.3,1009.07,2582208
1005.3,1001.85,1024,996.6,1022.45,1021.8,1013.38,4369725
1021.8,1018.65,1024.85,1005,1019.05,1020.95,1015.12,3240001
1020.95,1019.2,1044.7,1000.6,1007.35,1009.15,1025.46,3381601
1009.15,1004.7,1017.45,998.75,1010.9,1011.65,1008.5,2748246
1011.65,1016,1030.5,1008.2,1029,1025.9,1019.78,2357930
1025.9,1034.8,1044.2,1030,1039.25,1040.6,1036.44,3413753
1040.6,1014,1021,1005.15,1009,1009.35,1012.58,4146270
1009.35,1009,1009,997.55,1001,1001.15,1001.96,4035044
1001.15,1005,1009.1,980.1,987.7,986.1,990.45,5648346
986.1,992,993,970,972.35,972.4,977.14,8163236
972.4,975,988,971.3,985.2,983.75,980,3414200
983.75,983.9,986.8,961.3,964.5,964.75,970.04,3110913
964.75,965.1,967.4,941.05,943.2,943.9,953.2,5035348
2015,945,945,945,945,945,945,6500523
943.9,945,956.75,940,947,947.65,949.26,2667162
947.65,945,963.55,943.65,946.7,949.95,954.48,4476339
949.95,953,960,949.1,956.2,955.05,954.27,2952486
949.95,953,960,949.1,956.2,955.05,954.27,2952486
955.05,960,966.05,951.4,959.2,959.3,958.97,1831616
959.3,959.3,963.9,946.55,950.8,950.75,957.62,1861439
950.75,954,958.4,943.5,951.9,955.45,951.27,1873699
955.45,951.5,954.75,941,947.5,945.5,947.64,2107305
945.5,945.25,962,937.95,950.55,948,951.29,3178684
948,950,951.4,941.55,943.55,945,946.47,1601945
945,945.65,946.8,917.25,918.9,920.65,926,3973699
920.65,920,923.85,898.35,901.25,901.85,904.39,5672247
901.85,908.4,922,904.75,918.25,915.5,914.56,4131089
915.5,918.45,925.8,910.3,922.95,923.2,920.17,3171245
923.2,919,922,903.3,909.65,909.4,911.46,3391416
909.4,906,920.9,906,914.8,915.75,916.13,2538967
